#
#                             DATA
#                                   
#
#
# TIME      VALUE    FILTERED 
#-------------------------------
9.52       -0.253332       -0.253332
9.53       -0.873813       -0.873813
9.54       -1.4869       -1.4869
9.55       -2.09017       -2.09017
9.56       -2.68125       -2.68125
9.57       -13.0312       -13.0312
9.58       -3.81754       -3.81754
9.59       -4.35827       -4.35827
9.6       -4.87785       -4.87785
9.61       -5.37424       -5.37424
9.62       -5.84547       -5.84547
9.63       -6.28969       -6.28969
9.64       -6.70513       -6.70513
9.65       -7.09017       -7.09017
9.66       -7.44328       -7.44328
9.67       -7.76307       -7.76307
9.68       -8.04827       -8.04827
9.69       -8.29776       -8.29776
9.7       -8.51057       -8.51057
9.71       -8.68583       -8.68583
9.72       -8.82287       -8.82287
9.73       -8.92115       -8.92115
9.74       -8.98027       -8.98027
9.75       -9       -9
9.76       -8.98027       -8.98027
9.77       -8.92115       -8.92115
9.78       -8.82287       -8.82287
9.79       -8.68583       -8.68583
9.8       -8.51057       -8.51057
9.81       -8.29776       -8.29776
9.82       -8.04827       -8.04827
9.83       -7.76307       -7.76307
9.84       -7.44328       -7.44328
9.85       -7.09017       -7.09017
9.86       -6.70513       -6.70513
9.87       -6.28969       -6.28969
9.88       -5.84547       -5.84547
9.89       -5.37424       -5.37424
9.9       -4.87785       -4.87785
9.91       -4.35827       -4.35827
9.92       -3.81754       -3.81754
9.93       -3.25779       -3.25779
9.94       -2.68125       -2.68125
9.95       -2.09017       -2.09017
9.96       -1.4869       -1.4869
9.97       -3.49525       -3.49525
9.98       -0.253332       -0.253332
9.99       0.372095       0.372095
